SECTION,ASSET TYPE,ASSET NAME,GROWN BRILLIANCE (What they have),JEWEL-STONE CURRENT STATE,STATUS,QTY NEEDED,DIMENSIONS / FORMAT,PRIORITY,AI IMAGE/VIDEO PROMPT (Google Imagen / Veo),NOTES
,Collection Banner,Wedding Bands banner,Similar editorial style,Not present,✗ Missing,3,JPG: 800×800 + 1200×600 + 400×500,🔴 Critical,"Luxury flat lay of three minimalist diamond wedding bands (eternity, pave, plain) arranged in a curved line on white marble, soft natural light, gold and platinum metals, close-up macro detail showing diamond sparkle, top-down editorial photography",Missing category entirely
,Collection Banner,Diamond Earrings banner,"Earring editorial, on-model or flat lay",col-earrings.jpg exists,⚠ Needs upgrade,3,JPG: 800×800 + 1200×600 + 400×500,🔴 Critical,"Luxury product photography of diamond stud earrings and diamond drop earrings arranged elegantly on a silk cream fabric surface, soft diffused lighting, 14K white gold and yellow gold, varying sizes, top-down and 45-degree angle composite, high detail on diamond facets",Upgrade col-earrings.jpg
,Collection Banner,Necklaces & Pendants banner,Editorial necklace on-model,"col-necklaces.jpg, col-pendants.jpg exist",⚠ Needs upgrade,3,JPG: 800×800 + 1200×600 + 400×500,🔴 Critical,"Close-up editorial photograph of a sparkling diamond pendant necklace draped elegantly on a woman's bare collarbone, warm studio light, cream skin tones, shallow depth of field, diamond brilliance clearly visible, luxury fashion magazine style, Vogue-quality",col-necklaces.jpg exists but may be low quality
,Collection Banner,Tennis Bracelets banner,Bracelet on-wrist editorial or flat lay,"col-bracelets.jpg exists, new/tennis-bracelet.jpg",⚠ Needs upgrade,3,JPG: 800×800 + 1200×600 + 400×500,🔴 Critical,"Luxury editorial photograph of a diamond tennis bracelet draped across a woman's wrist resting on cream marble, soft morning light, platinum and yellow gold versions shown, diamonds sparkling, close-up macro photography, 8K detail, jewelry editorial style",
,Collection Banner,Loose Diamonds banner,Diamond search/illustration gallery,Not present,✗ Missing,3,JPG: 800×800 + 1200×600 + 400×500,🟡 Important,"Top-down macro photograph of multiple loose lab-grown diamonds of different shapes (round brilliant, oval, pear, cushion, emerald) arranged on a black velvet surface, studio lighting creating maximum brilliance and fire, ultra-sharp focus, editorial jewelry photography",Also need per-shape illustration set
,Collection Banner,Custom Design banner,Sketch/CAD or artisan hands working,"col-custom.jpg exists, new/custom-design-editorial.jpg",⚠ Needs upgrade,3,JPG: 800×800 + 1200×600 + 400×500,🟡 Important,"Close-up photograph of a jewelry artisan's hands holding custom-made diamond ring with precision tools in background, warm workshop lighting, selective focus on the ring, craftsmanship and artisan feel, editorial quality",
,Collection Banner,Rings (all) banner,General rings category,col-rings.jpg exists,⚠ Needs upgrade,3,JPG: 800×800 + 1200×600 + 400×500,🟡 Important,"Luxury editorial flat lay of five different diamond rings (solitaire, halo, three-stone, pave band, cocktail) arranged in a diagonal line on white Carrara marble, top-down macro photography, warm and cool gold tones mixed, editorial jewelry photography, 4K detail",
,,,,,,,,,,
PRODUCT IMAGES – ENGAGEMENT RINGS,,,,,,,,,
,Ring Product,Engagement ring – Solitaire Round (white gold),"6 shots: top-down, 45°, side, close-up stone, on-hand, box",Not present,✗ Missing,6 shots,JPG 2000×2000 white bg (product) + 800×800 lifestyle,🔴 Critical,"Professional jewelry product photograph of a round brilliant diamond solitaire engagement ring in 14K white gold, pure white seamless background, 45-degree angle showing stone and band, studio lighting with ring light for maximum diamond sparkle, ultra sharp focus, high-end jewelry e-commerce photography style, no shadows except subtle ground shadow",1 design × 3 metals × 6 shots = 18 images minimum
,Ring Product,Engagement ring – Solitaire Round (yellow gold),Same ring in yellow gold,Not present,✗ Missing,6 shots,JPG 2000×2000 white bg,🔴 Critical,"Professional jewelry product photograph of a round brilliant diamond solitaire engagement ring in 14K yellow gold, pure white seamless background, 45-degree angle showing warm gold band and brilliant white diamond center stone, studio product photography, ultra detailed, luxury e-commerce style",Generate for each metal type: white / yellow / rose gold
,Ring Product,Engagement ring – Solitaire Round (rose gold),Same ring in rose gold,Not present,✗ Missing,6 shots,JPG 2000×2000 white bg,🔴 Critical,"Professional jewelry product photograph of a round brilliant diamond solitaire engagement ring in 14K rose gold, pure white seamless background, 45-degree view, warm pink-gold tone of band contrasting with brilliant colorless diamond, ultra sharp studio lighting, luxury product photography",
,Ring Product,Engagement ring – Oval Halo (all 3 metals),"3D ring builder preview, 360° images","new/ring-oval-halo.jpg, ring-oval-halo-2.jpg, ring-oval-halo-3.jpg",⚠ Editorial only – need white bg product shots,18 shots,JPG 2000×2000 white bg per variant,🔴 Critical,"Professional product photograph of an oval cut diamond halo engagement ring in 14K white gold, surrounded by pavé diamond halo, pure white background, front view then 45-degree angle then side profile, studio lighting, ultra detailed macro focus on diamond pavé setting and oval center stone",Need clean white bg product shots not editorial
,Ring Product,Engagement ring – Three Stone (all 3 metals),Three-stone trilogy ring,Not present,✗ Missing,18 shots,JPG 2000×2000 white bg,🔴 Critical,"Luxury jewelry product photograph of a three-stone diamond engagement ring in 14K white gold with round brilliant center stone flanked by two matching round side stones, pure white seamless background, 45-degree hero angle, studio ring-light, ultra sharp focus, sparkle visible on all three diamonds, e-commerce product photography",
,Ring Product,Engagement ring – Halo Cushion (all 3 metals),Cushion halo engagement ring,Not present,✗ Missing,18 shots,JPG 2000×2000 white bg,🔴 Critical,"Professional e-commerce product photograph of a cushion cut diamond halo engagement ring in 14K white gold, micro-pavé halo with vintage-inspired detail, pure white background, three angles: top-down, 45-degree, side profile, studio jewelry photography, maximum diamond brilliance and detail",
,Ring Product,Engagement ring – Pear Solitaire (all 3 metals),Pear shape solitaire,Not present,✗ Missing,18 shots,JPG 2000×2000 white bg,🟡 Important,"E-commerce jewelry product photo of a pear shape diamond solitaire ring in 14K white gold, thin elegant band, diamond oriented with point toward fingernail, pure white background, 45-degree hero angle, ultra sharp macro, studio lighting",
,Ring Product,Engagement ring – on-hand lifestyle (all styles),"Model wearing ring, close-up hand",Not present,✗ Missing,1 per style,JPG 1200×1200 lifestyle,🟡 Important,"Close-up lifestyle photograph of an elegant woman's hand wearing a sparkling diamond engagement ring, natural light from window, cream and neutral background, wedding dress visible at bottom of frame, ring fills center of frame, soft bokeh background, authentic luxury bridal editorial style",1 lifestyle shot per ring style is sufficient
,,,,,,,,,,
PRODUCT IMAGES – WEDDING BANDS,,,,,,,,,
,Band Product,Women's eternity band – Diamond (all 3 metals),Full diamond eternity band,Not present,✗ Missing,12 shots,JPG 2000×2000 white bg,🔴 Critical,"Professional jewelry product photograph of a full diamond eternity wedding band in 14K white gold with round brilliant diamonds channel-set all the way around, pure white background, top-down view showing diamond row and side profile, studio lighting, luxury e-commerce style, ultra sharp detail",3 metals × 4 shots each = 12
,Band Product,Women's thin pave band (all 3 metals),Pavé diamond band,Not present,✗ Missing,12 shots,JPG 2000×2000 white bg,🔴 Critical,"E-commerce product photo of a thin pavé diamond wedding band in 14K yellow gold, small brilliant diamonds set in pavé along the band, pure white background, front and 45-degree angle, ultra macro detail showing individual diamond settings, studio jewelry photography",
,Band Product,Men's classic plain band (white + yellow gold),Men's wedding band,Not present,✗ Missing,8 shots,JPG 2000×2000 white bg,🟡 Important,"Professional product photography of a classic men's wedding band in 14K yellow gold, polished finish with subtle brushed center, pure white background, straight-on front view and 45-degree angle showing band thickness and width, luxury e-commerce jewelry photography",4 shots × 2 metals = 8
,Band Product,Stacked ring shot (engagement + band together),How rings stack on finger,Some editorial shots exist,✗ Missing product stack shot,2,JPG 1200×1200 lifestyle,🟡 Important,"Close-up lifestyle photo of a woman's ring finger wearing a diamond engagement ring stacked with a matching diamond pave wedding band, soft natural window light, hand elegantly posed against cream linen fabric, editorial style, detail visible on both rings simultaneously",
,,,,,,,,,,
PRODUCT IMAGES – EARRINGS,,,,,,,,,
,Earring Product,Diamond stud earrings – full set (already have 10 styles × 3 metals × 4 angles),"Per earring: front, 45°, side, back","st1–st12, st15 in white/yellow/rose × 4 angles",✓ Comprehensive – studs covered well,0,Already produced,✓ Done,[Already exists] – no new prompt needed,Studs are the most complete product category
,Earring Product,Diamond drop/dangle earrings (all 3 metals),Drop earrings with diamond pavé,Not present,✗ Missing,12 shots,JPG 2000×2000 white bg,🔴 Critical,"Luxury e-commerce product photography of a pair of diamond drop earrings in 14K white gold, pear-shaped drop with round brilliant accent stones, pure white background, front view showing full length of earring and close-up of drop detail, studio lighting, ultra sharp detail on all diamond facets",3 metals × 4 shots = 12
,Earring Product,Diamond drop earrings – on-ear model lifestyle,On-model earring wearing,Not present,✗ Missing,1 per style,JPG 1200×1200,🟡 Important,"Close-up editorial photo of a woman's ear wearing elegant diamond drop earrings in 14K white gold, hair swept back to reveal earring, soft studio light creating sparkle, cream background, luxury jewelry editorial style, Vogue magazine quality",
,Earring Product,Diamond halo stud earrings (all 3 metals),Halo earrings,Not present,✗ Missing,12 shots,JPG 2000×2000 white bg,🟡 Important,"Professional product photo of a pair of round brilliant diamond halo stud earrings in 14K white gold, center diamond surrounded by micro-pavé halo, pure white background, front view and 45-degree angle, ultra detailed studio photography",3 metals × 4 shots = 12
,,,,,,,,,,
PRODUCT IMAGES – NECKLACES & PENDANTS,,,,,,,,,
,Necklace Product,Solitaire diamond pendant – all shapes (round, oval, pear, cushion, emerald, heart),"Per pendant: front, 45°, side, on-neck lifestyle","new/pendant-cushion.jpg, pendant-emerald.jpg, pendant-heart.jpg, pendant-oval.jpg, pendant-pear.jpg",⚠ Have some – all editorial quality only,24 shots,JPG 2000×2000 white bg (product) + lifestyle,🔴 Critical,"Professional e-commerce product photograph of a round brilliant diamond solitaire pendant necklace in 14K white gold on a thin cable chain, pure white background, pendant centered in frame, 45-degree angle showing diamond and setting detail, studio lighting, ultra sharp macro photography",6 shapes × 4 shots = 24 product shots
,Necklace Product,Tennis necklace (round diamonds, white gold),Tennis necklace – full strand on neck,new/tennis-bracelet.jpg exists (wrong item),✗ Missing necklace specifically,4 shots,JPG 2000×2000 white bg + 1200×1200 on-neck,🔴 Critical,"Luxury product photography of a diamond tennis necklace in 14K white gold, 30 round brilliant diamonds set in prong setting, necklace laid out in slight curve on white background, and a second shot draped on a woman's neckline, studio lighting, ultra detailed, e-commerce jewelry photography",
,Necklace Product,Diamond station necklace,Diamond station necklace,Not present,✗ Missing,4 shots,JPG 2000×2000 white bg,🟡 Important,"E-commerce product photo of a delicate diamond station necklace in 14K yellow gold, small round brilliant diamonds spaced evenly along a thin chain, pure white background, chain laid out in gentle curve, macro detail on diamond settings, studio product photography",
,Necklace Product,Cascade / drop necklace,Waterfall style diamond necklace,"new/necklace-cascade.jpg, cascade-2.jpg, cascade-3.jpg",⚠ Editorial only,4 shots,JPG 2000×2000 white bg,🟡 Important,"Professional product photography of an elegant diamond cascade necklace in 14K white gold, graduating diamond drops creating a waterfall effect, pure white background, front view showing full necklace layout, ultra detailed, luxury jewelry e-commerce",
,Necklace Product,On-model necklace lifestyle shots,All necklace styles on model neck,Not present,✗ Missing,1 per necklace style,JPG 1200×1200,🔴 Critical,"Ultra close-up editorial photograph of a woman's bare neckline wearing a sparkling diamond pendant necklace in 14K white gold, collarbone visible, warm studio light, cream and ivory tones, diamond sparkle detail visible, luxury fashion editorial style, no face visible, focus entirely on necklace and decolletage",Required for PDP conversion rates
,,,,,,,,,,
PRODUCT IMAGES – BRACELETS,,,,,,,,,
,Bracelet Product,Tennis bracelet – round diamonds (all 3 metals × 2 sizes),Bracelet on white bg and on-wrist,"new/tennis-bracelet.jpg, tennis-bracelet-2.jpg",⚠ Editorial only – need clean product shots,12 shots,JPG 2000×2000 white bg,🔴 Critical,"Professional e-commerce jewelry product photograph of a 4 carat diamond tennis bracelet in 14K white gold, round brilliant diamonds in shared prong setting, bracelet laid out in slight oval curve on pure white background, macro detail on diamond settings and clasp, ultra sharp studio lighting",3 metals × 4 shots = 12
,Bracelet Product,Diamond bangle (yellow gold),Solid diamond bangle,Not present,✗ Missing,4 shots,JPG 2000×2000 white bg,🟡 Important,"Luxury product photograph of a diamond bangle bracelet in 14K yellow gold with pave set diamonds across the top surface, laid flat on pure white background showing diamond coverage and bracelet width, side view showing thickness, studio ring lighting",
,Bracelet Product,Bracelet on-wrist lifestyle shots,"On-wrist worn, natural hand pose",new/sapphire-bracelet.jpg (wrong material),✗ Missing for diamond bracelets,1 per style,JPG 1200×1200,🟡 Important,"Close-up lifestyle photograph of a woman's elegant wrist wearing a diamond tennis bracelet in 14K white gold, hand casually resting on cream marble surface, natural light creating sparkle, no nail polish or minimal, magazine quality editorial photo",Required for PDP
,,,,,,,,,,
LOOSE DIAMONDS – SHAPE ILLUSTRATIONS,,,,,,,,,
,Diamond Illustration,Round Brilliant cut illustration,Oval top-down clean illustration on gray/dark bg,SVG icons exist (jewel-diamond.svg) but not shape-specific,✗ Missing shape set,1 per shape,PNG 400×400 transparent bg or dark bg,🟡 Important,"Hyper-realistic close-up macro photograph of a single loose round brilliant cut lab-grown diamond on a matte black velvet surface, studio overhead lighting creating maximum fire and brilliance, top-down view showing all facets clearly, ultra sharp 8K detail, gemological photography style",10 shape illustrations needed for diamond search page
,Diamond Illustration,Oval Cut,Oval diamond illustration,Not present,✗ Missing,1,PNG 400×400,🟡 Important,"Hyper-realistic macro photograph of a single loose oval cut lab-grown diamond on matte black velvet surface, top-down view, all 57 facets visible, studio overhead lighting, maximum fire and sparkle, 8K gemological photography",
,Diamond Illustration,Cushion Cut,Cushion diamond,Not present,✗ Missing,1,PNG 400×400,🟡 Important,"Hyper-realistic top-down macro photo of a single loose cushion cut lab-grown diamond on black velvet, soft rounded square outline clearly visible, studio lighting, all facets showing fire and brilliance, ultra sharp focus, gemological photography",
,Diamond Illustration,Princess Cut,Princess cut diamond,Not present,✗ Missing,1,PNG 400×400,🟡 Important,"Hyper-realistic top-down macro photo of a single loose princess cut lab-grown diamond (square shape with pointed corners) on black velvet, studio overhead lighting, facet pattern clearly visible from above, ultra detailed gemological photography",
,Diamond Illustration,Emerald Cut,Emerald cut diamond,Not present,✗ Missing,1,PNG 400×400,🟡 Important,"Hyper-realistic macro photo of a single loose emerald cut lab-grown diamond on matte black velvet, top-down view showing step-cut facets and characteristic windmill reflection, studio lighting, 8K detail, hall-of-mirrors effect visible in facets",
,Diamond Illustration,Pear Cut,Pear shape diamond,Not present,✗ Missing,1,PNG 400×400,🟡 Important,"Top-down macro gemological photo of a single loose pear shape lab-grown diamond on black velvet, point at top tip clearly defined, all 57 facets visible, studio overhead lighting creating fire and brilliance, ultra sharp 8K",
,Diamond Illustration,Radiant Cut,Radiant cut diamond,Not present,✗ Missing,1,PNG 400×400,🟡 Important,"Top-down macro photo of a single loose radiant cut lab-grown diamond on black velvet, rectangular outline with cropped corners, brilliant-cut facet pattern visible, studio lighting, maximum fire, 8K gemological photography",
,Diamond Illustration,Marquise Cut,Marquise diamond,Not present,✗ Missing,1,PNG 400×400,🟡 Important,"Top-down macro photo of a single loose marquise cut lab-grown diamond on black velvet, football/eye shape clearly defined, studio overhead lighting, all facets showing fire and brilliance, ultra sharp 8K detail",
,Diamond Illustration,Asscher Cut,Asscher cut diamond,Not present,✗ Missing,1,PNG 400×400,🟡 Important,"Top-down macro photo of a single loose Asscher cut lab-grown diamond on black velvet, nearly square with deeply cut step facets, characteristic X pattern visible from above, studio lighting, 8K gemological photography",
,Diamond Illustration,Heart Cut,Heart shape diamond,Not present,✗ Missing,1,PNG 400×400,🟡 Important,"Top-down macro photo of a single loose heart shape lab-grown diamond on black velvet, perfectly symmetrical heart outline with distinct cleft at top, all facets visible, studio lighting, fire and brilliance visible, 8K ultra detail",
,,,,,,,,,,
EDITORIAL / LIFESTYLE – HOMEPAGE,,,,,,,,,
,Editorial Image,Homepage mosaic image 1 – Rings,Luxury editorial ring flat lay for homepage mosaic section,col-rings.jpg exists,⚠ Needs upgrade for large display,1,JPG 1000×1000 or 800×800 square,🔴 Critical,"Luxury editorial overhead flat lay of an elegant diamond engagement ring on a smooth white Carrara marble slab, morning soft light creating subtle shadows, ring centered and sharp, cream and white tones, magazine photography, negative space for text overlay if needed, 8K",Used in homepage mosaic grid section
,Editorial Image,Homepage mosaic image 2 – Earrings,Similar editorial for earrings,col-earrings.jpg exists,⚠ Needs upgrade,1,JPG 1000×1000,🔴 Critical,"Luxury flat lay editorial of diamond stud earrings and small hoop earrings arranged on white marble, soft natural light, scattered diamond accents, overhead view, cream and white palette, magazine quality jewelry photography",
,Editorial Image,Homepage mosaic image 3 – Necklaces,Necklace editorial on neck,col-necklaces.jpg exists,⚠ Needs upgrade,1,JPG 1000×1000,🔴 Critical,"Luxury editorial close-up of a woman's bare neckline and collarbone wearing a delicate diamond pendant necklace, soft studio light from upper left, cream skin tone, no face visible, elegant and sensual, fashion magazine style",
,Editorial Image,Homepage mosaic image 4 – Pendants,Pendant editorial,col-pendants.jpg exists,⚠ Needs upgrade,1,JPG 1000×1000,🔴 Critical,"Ultra close-up macro editorial photo of a teardrop diamond pendant necklace on white silk fabric, slight texture visible, warm side lighting emphasizing diamond facets, editorial still life photography, luxury fashion magazine",
,Editorial Image,Homepage mosaic image 5 – Bracelets,Bracelet on wrist editorial,col-bracelets.jpg exists,⚠ Needs upgrade,1,JPG 1000×1000,🔴 Critical,"Luxury editorial photo of a diamond tennis bracelet draped across a woman's wrist resting on white marble, soft morning window light, sparkle visible on each diamond, elegant hand pose, editorial jewelry photography, high contrast warm light",
,Editorial Image,Homepage mosaic image 6 – Custom design,Custom/artisan editorial,"col-custom.jpg, new/custom-design-editorial.jpg",⚠ May need upgrade,1,JPG 1000×1000,🔴 Critical,"Close-up editorial photograph of a jewelry designer's hands sketching a custom ring design on white paper with a pencil, tools visible in soft background, warm workshop lighting, craftsmanship and artisan aesthetic, editorial style",
,Editorial Image,Brand hero – lifestyle (model wearing multiple pieces),Brand story hero with model,"new/still-life.jpg, workshop.jpg",⚠ Different purpose needed,1,JPG 1600×1000 landscape,🟡 Important,"Luxury lifestyle editorial photo of an elegant woman in minimal white clothing, wearing multiple Jewel Stone pieces: diamond stud earrings, diamond pendant necklace and diamond bracelet simultaneously, architectural or hotel lobby background, warm natural light, full upper body composition, high-fashion editorial quality",For About page and brand story sections
,,,,,,,,,,
ABOUT PAGE,,,,,,,,,
,About Image,About hero – brand/founder image,"Founder Akshie Jhaveri in elegant setting, or brand team",new/workshop.jpg partially relevant,⚠ Need brand-appropriate version,1,JPG 1600×800 landscape,🟡 Important,"Professional editorial portrait of an elegant jewelry designer in a bright modern studio, surrounded by jewelry tools and diamond pieces, wearing minimal white or cream outfit, warm ambient light, confident and artistic pose, high-end brand photography style",Or use actual founder/team photo if available
,About Image,About secondary – craftsmanship detail,Artisan hands with jewelry,new/workshop.jpg,⚠ May work,2,JPG 1200×800,🟡 Important,"Macro close-up photograph of a skilled jeweler's hands using precision tweezers to set a diamond into a ring mount under bright workshop lighting, selective focus on the diamond and tweezers, warm studio tones, craftsmanship storytelling photography",
,About Image,NYC Diamond District image,Store exterior or district image,Not present,✗ Missing,1,JPG 1200×800,🟡 Important,"Editorial photograph of a luxury jewelry boutique interior with glass display cases showcasing diamond jewelry, warm ambient lighting, marble counters, minimal and elegant design, New York City luxury retail aesthetic",If no real store photo use this
,,,,,,,,,,
EDUCATION SECTION,,,,,,,,,
,Education Image,4Cs – Cut illustration,Light diagram showing cut quality,No education section exists,✗ Missing,1,JPG/PNG 800×500,🟢 Nice-to-have,"Clean minimal infographic illustration of diamond cut cross-sections showing Ideal, Very Good, Good and Poor cut proportions, light ray paths illustrated as thin gold lines on white background, luxury minimalist design style",For education/4Cs page
,Education Image,4Cs – Color scale chart,D-Z color scale visual,Not present,✗ Missing,1,JPG/PNG 800×400,🟢 Nice-to-have,"Clean minimal infographic showing the GIA diamond color scale from D (colorless) to Z (light yellow), each grade shown as a small diamond illustration progressing from completely colorless to warm yellow tint, white background, elegant gold typography",
,Education Image,Diamond shapes guide graphic,All 10+ shapes in one graphic,Not present,✗ Missing,1,JPG/PNG 1200×600,🟢 Nice-to-have,"Clean elegant infographic showing 10 diamond shapes side by side on white background: Round, Oval, Cushion, Pear, Emerald, Princess, Radiant, Marquise, Asscher, Heart – each shape rendered as a realistic diamond top-view illustration with name below, luxury minimal design, gold accent color",
,Education Image,Lab-grown diamond process diagram,CVD/HPHT process illustration,Not present,✗ Missing,1,JPG/PNG 1200×700,🟢 Nice-to-have,"Minimal elegant infographic illustrating the Chemical Vapor Deposition (CVD) lab diamond creation process: 4 steps shown with clean icons (1. Seed crystal placed, 2. Carbon gas added, 3. Crystal grows, 4. Diamond cut and polished), white background, thin gold line art style, luxury sustainability branding",
,,,,,,,,,,
VIDEOS – PRODUCT & MARKETING,,,,,,,,,
,Product Video,Ring 360° turntable video,10–15 second smooth ring rotation,ring-360.mp4 exists,⚠ Quality unknown,1 per ring style,"MP4 1:1 ratio 1080×1080, 10–15s loop",🔴 Critical,"Create a smooth 360-degree turntable rotation video of a diamond solitaire engagement ring in 14K white gold, pure white background, ring slowly rotates 360 degrees showing all angles over 12 seconds, studio lighting maintained consistently throughout rotation, ultra sharp focus, no text or watermarks, seamless loop",Need per product or at minimum 1 hero ring + 1 earring + 1 necklace
,Product Video,Diamond floating/particles ambient video,Ambient sparkle/particles video,diamonds-float.mp4 exists,⚠ Review needed,1,"MP4 1920×1080, 20–30s loop",🟡 Important,"Cinematic video of multiple loose diamonds slowly floating and rotating in zero gravity, dark background with dramatic overhead lighting creating maximum fire and brilliance on each diamond, slow motion, luxury ambience video, seamless loop",For section backgrounds and loading states
,Product Video,Necklace drape product video,Necklace being draped on neck,Not present,✗ Missing,1,"MP4 1:1 1080×1080, 8–12s",🟡 Important,"Slow-motion close-up video of an elegant woman's hand placing a sparkling diamond pendant necklace around her bare neck and fastening the clasp, warm studio light, skin tones neutral, diamond sparkle catch light, luxury fashion editorial style",For necklace PDP and category pages
,Product Video,Bracelet on-wrist video,Tennis bracelet being put on,Not present,✗ Missing,1,"MP4 1:1 1080×1080, 8–12s",🟡 Important,"Slow-motion video of a diamond tennis bracelet being clasped on an elegant woman's wrist, warm light creating diamond sparkle on each stone, cream background, luxury editorial style, close-up on hands and bracelet only",
,Product Video,Diamonds search background video,Loose diamonds in motion,diamonds-float.mp4 partially covers,✗ Need shape-specific stills,1,"MP4 1920×1080, 30s loop",🟢 Nice-to-have,"Cinematic slow motion close-up video of multiple loose lab-grown diamonds of different shapes gently rotating on a dark matte surface under precision studio lighting, each diamond showing distinct fire and brilliance, ultra detailed, luxury gemstone video",For diamonds search page header
,Product Video,Showroom ambient loop (3D room),Ambient video for 3D showroom entry,"jewelry-3d.mp4, showroom page exists",⚠ Showroom exists but needs content,1,"MP4 1920×1080, 20s loop",🟡 Important,"Cinematic slow pan through an elegant luxury jewelry boutique interior, warm ambient lighting, diamond jewelry pieces glowing in display cases, bokeh in background, no people, architectural interior photography video, seamless loop",For 3D showroom page intro
,,,,,,,,,,
SOCIAL MEDIA ASSETS,,,,,,,,,
,Social Media,Instagram square posts – product grid (per category),Grid-ready square product editorials,Not present,✗ Missing,6,JPG 1080×1080 each,🟡 Important,"Luxury jewelry brand Instagram post: square format, single diamond ring centered on white marble background, minimal composition with plenty of negative space, warm soft light, 14K white gold, editorial style suitable for luxury Instagram feed, no text overlay needed",1 per category for launch
